Date,Value,Anomaly
189503,39.6,-0.5
189603,38.2,-1.9
189703,33.0,-7.1
189803,37.1,-3.0
189903,37.9,-2.2
190003,45.2,5.1
190103,41.6,1.5
190203,39.9,-0.2
190303,39.1,-1.0
190403,35.8,-4.3
190503,43.6,3.5
190603,36.8,-3.3
190703,38.8,-1.3
190803,40.4,0.3
190903,42.4,2.3
191003,46.3,6.2
191103,43.6,3.5
191203,38.4,-1.7
191303,35.3,-4.8
191403,43.5,3.4
191503,45.1,5.0
191603,41.5,1.4
191703,32.8,-7.3
191803,43.0,2.9
191903,40.3,0.2
192003,39.4,-0.7
192103,40.3,0.2
192203,37.0,-3.1
192303,39.6,-0.5
192403,39.7,-0.4
192503,41.7,1.6
192603,44.5,4.4
192703,40.1,0.0
192803,42.8,2.7
192903,41.7,1.6
193003,42.2,2.1
193103,41.7,1.6
193203,38.3,-1.8
193303,40.3,0.2
193403,47.2,7.1
193503,38.4,-1.7
193603,38.8,-1.3
193703,42.3,2.2
193803,41.2,1.1
193903,41.3,1.2
194003,45.3,5.2
194103,46.7,6.6
194203,40.8,0.7
194303,36.9,-3.2
194403,38.0,-2.1
194503,37.8,-2.3
194603,42.2,2.1
194703,43.7,3.6
194803,37.3,-2.8
194903,39.1,-1.0
195003,36.8,-3.3
195103,35.4,-4.7
195203,37.8,-2.3
195303,41.1,1.0
195403,37.4,-2.7
195503,32.2,-7.9
195603,37.2,-2.9
195703,38.6,-1.5
195803,39.9,-0.2
195903,40.2,0.1
196003,39.3,-0.8
196103,41.0,0.9
196203,35.7,-4.4
196303,41.7,1.6
196403,36.8,-3.3
196503,35.6,-4.5
196603,39.9,-0.2
196703,38.2,-1.9
196803,43.3,3.2
196903,36.8,-3.3
197003,38.2,-1.9
197103,36.4,-3.7
197203,42.6,2.5
197303,42.3,2.2
197403,39.7,-0.4
197503,35.5,-4.6
197603,36.5,-3.6
197703,39.7,-0.4
197803,43.6,3.5
197903,41.8,1.7
198003,38.4,-1.7
198103,43.3,3.2
198203,40.7,0.6
198303,43.5,3.4
198403,42.9,2.8
198503,37.0,-3.1
198603,43.9,3.8
198703,42.9,2.8
198803,40.8,0.7
198903,37.8,-2.3
199003,42.0,1.9
199103,38.0,-2.1
199203,46.6,6.5
199303,38.9,-1.2
199403,42.9,2.8
199503,41.1,1.0
199603,37.5,-2.6
199703,40.4,0.3
199803,42.1,2.0
199903,40.3,0.2
200003,40.1,0.0
200103,40.3,0.2
200203,35.6,-4.5
200303,42.1,2.0
200403,43.7,3.6
200503,42.2,2.1
200603,39.0,-1.1
200703,43.1,3.0
200803,36.7,-3.4
200903,35.0,-5.1
201003,41.6,1.5
201103,39.7,-0.4
201203,39.1,-1.0
201303,41.6,1.5
201403,40.1,0.0
201503,45.5,5.4
201603,42.7,2.6
201703,40.8,0.7
201803,39.6,-0.5
201903,34.6,-5.5
202003,38.8,-1.3
202103,41.5,1.4
202203,42.6,2.5
202303,37.7,-2.4
